"","Yb173Di","barcode","type"
"507",1192,"none","real cells"
"508",8,"none","real cells"
"509",875,"none","real cells"
"510",1850,"none","real cells"
"511",1007,"none","real cells"
"512",1568,"none","real cells"
"513",1001,"none","real cells"
"514",39,"none","real cells"
"515",121,"none","real cells"
"516",129,"none","real cells"
"517",128,"none","real cells"
"518",1037,"none","real cells"
"519",935,"none","real cells"
"520",41,"none","real cells"
"521",755,"none","real cells"
"522",71,"none","real cells"
"523",62,"none","real cells"
"524",102,"none","real cells"
"525",19,"none","real cells"
"526",96,"none","real cells"
"527",1150,"none","real cells"
"528",1320,"none","real cells"
"529",62,"none","real cells"
"530",607,"none","real cells"
"531",32,"none","real cells"
"532",1391,"none","real cells"
"533",1133,"none","real cells"
"534",171,"none","real cells"
"535",905,"none","real cells"
"536",920,"none","real cells"
"537",324,"none","real cells"
"538",665,"none","real cells"
"539",98,"none","real cells"
"540",37,"none","real cells"
"541",54,"none","real cells"
"542",78,"none","real cells"
"543",70,"none","real cells"
"544",582,"none","real cells"
"545",731,"none","real cells"
"546",51,"none","real cells"
"547",69,"none","real cells"
"548",38,"none","real cells"
"549",967,"none","real cells"
"550",68,"none","real cells"
"551",70,"none","real cells"
"552",1117,"none","real cells"
"553",789,"none","real cells"
"554",63,"none","real cells"
"555",781,"none","real cells"
"556",652,"none","real cells"
"557",106,"none","real cells"
"558",20,"none","real cells"
"559",84,"none","real cells"
"560",24,"none","real cells"
"561",1250,"none","real cells"
"562",496,"none","real cells"
"563",1003,"none","real cells"
"564",692,"none","real cells"
"565",1061,"none","real cells"
"566",90,"none","real cells"
"567",63,"none","real cells"
"568",44,"none","real cells"
"569",1345,"none","real cells"
"570",24,"none","real cells"
"571",569,"none","real cells"
"572",933,"none","real cells"
"573",759,"none","real cells"
"574",146,"none","real cells"
"575",1371,"none","real cells"
"576",876,"none","real cells"
"577",61,"none","real cells"
"578",858,"none","real cells"
"579",36,"none","real cells"
"580",87,"none","real cells"
"581",978,"none","real cells"
"582",24,"none","real cells"
"583",39,"none","real cells"
"584",1320,"none","real cells"
"585",103,"none","real cells"
"586",882,"none","real cells"
"587",67,"none","real cells"
"588",87,"none","real cells"
"589",655,"none","real cells"
"590",44,"none","real cells"
"591",75,"none","real cells"
"592",1069,"none","real cells"
"593",985,"none","real cells"
"594",73,"none","real cells"
"595",711,"none","real cells"
"596",59,"none","real cells"
"597",156,"none","real cells"
"598",1340,"none","real cells"
"599",916,"none","real cells"
"600",86,"none","real cells"
"601",1057,"none","real cells"
"602",872,"none","real cells"
"603",52,"none","real cells"
"604",1100,"none","real cells"
"605",46,"none","real cells"
"606",1273,"none","real cells"
"607",1299,"none","real cells"
"608",140,"none","real cells"
"609",73,"none","real cells"
"610",1111,"none","real cells"
"611",1015,"none","real cells"
"612",99,"none","real cells"
"613",112,"none","real cells"
"614",82,"none","real cells"
"615",1484,"none","real cells"
"616",665,"none","real cells"
"617",36,"none","real cells"
"618",931,"none","real cells"
"619",1482,"none","real cells"
"620",39,"none","real cells"
"621",1255,"none","real cells"
"622",1087,"none","real cells"
"623",535,"none","real cells"
"624",2,"none","real cells"
"625",932,"none","real cells"
"626",42,"none","real cells"
"627",0,"none","real cells"
"628",1121,"none","real cells"
"629",129,"none","real cells"
"630",1174,"none","real cells"
"631",55,"none","real cells"
"632",31,"none","real cells"
"633",1306,"none","real cells"
"634",1077,"none","real cells"
"635",1055,"none","real cells"
"636",1346,"none","real cells"
"637",65,"none","real cells"
"638",1371,"none","real cells"
"639",129,"none","real cells"
"640",45,"none","real cells"
"641",1715,"none","real cells"
"642",1012,"none","real cells"
"643",78,"none","real cells"
"644",51,"none","real cells"
"645",60,"none","real cells"
"646",808,"none","real cells"
"647",76,"none","real cells"
"648",48,"none","real cells"
"649",679,"none","real cells"
"650",1126,"none","real cells"
"651",1192,"none","real cells"
"652",1038,"none","real cells"
"653",1156,"none","real cells"
"654",37,"none","real cells"
"655",1174,"none","real cells"
"656",1217,"none","real cells"
"657",597,"none","real cells"
"658",45,"none","real cells"
"659",1066,"none","real cells"
"660",1034,"none","real cells"
"661",1252,"none","real cells"
"662",818,"none","real cells"
"663",68,"none","real cells"
"664",40,"none","real cells"
"665",976,"none","real cells"
"666",81,"none","real cells"
"667",800,"none","real cells"
"668",19,"none","real cells"
"669",0,"none","real cells"
"670",64,"none","real cells"
"671",914,"none","real cells"
"672",56,"none","real cells"
"673",504,"none","real cells"
"674",5,"none","real cells"
"675",974,"none","real cells"
"676",54,"none","real cells"
"677",827,"none","real cells"
"678",769,"none","real cells"
"679",1286,"none","real cells"
"680",25,"none","real cells"
"681",30,"none","real cells"
"682",80,"none","real cells"
"683",61,"none","real cells"
"684",4,"none","real cells"
"685",110,"none","real cells"
"686",91,"none","real cells"
"687",49,"none","real cells"
"688",37,"none","real cells"
"689",125,"none","real cells"
"690",54,"none","real cells"
"691",1099,"none","real cells"
"692",1250,"none","real cells"
"693",612,"none","real cells"
"694",20,"none","real cells"
"695",91,"none","real cells"
"696",143,"none","real cells"
"697",779,"none","real cells"
"698",658,"none","real cells"
"699",1302,"none","real cells"
"700",58,"none","real cells"
"701",14,"none","real cells"
"702",1185,"none","real cells"
"703",615,"none","real cells"
"704",702,"none","real cells"
"705",55,"none","real cells"
"706",951,"none","real cells"
"707",78,"none","real cells"
"708",1064,"none","real cells"
"709",1031,"none","real cells"
"710",19,"none","real cells"
"711",89,"none","real cells"
"712",63,"none","real cells"
"713",44,"none","real cells"
"714",93,"none","real cells"
"715",35,"none","real cells"
"716",79,"none","real cells"
"717",108,"none","real cells"
"718",705,"none","real cells"
"719",109,"none","real cells"
"720",1095,"none","real cells"
"721",30,"none","real cells"
"722",1086,"none","real cells"
