"","Yb173Di","barcode","type"
"275",5,"Yb174Di","beads"
"276",6,"Yb174Di","beads"
"277",33,"Yb172Di","beads"
"278",41,"Yb172Di","beads"
"279",5,"Yb176Di","beads"
"280",5,"Yb171Di","beads"
"281",36,"Yb172Di","beads"
"282",1,"Yb171Di","beads"
"283",2,"Yb176Di","beads"
"284",0,"Yb171Di","beads"
"285",1177,"Yb173Di","beads"
"286",55,"Yb172Di","beads"
"287",4,"Yb171Di","beads"
"288",1155,"Yb173Di","beads"
"289",1018,"Yb173Di","beads"
"290",2019,"Yb173Di","beads"
"291",7,"Yb171Di","beads"
"292",92,"Yb172Di","beads"
"293",28,"Yb172Di","beads"
"294",1384,"Yb173Di","beads"
"295",42,"Yb172Di","beads"
"296",6,"Yb174Di","beads"
"297",1103,"Yb173Di","beads"
"298",5,"Yb174Di","beads"
"299",7,"Yb174Di","beads"
"300",86,"Yb172Di","beads"
"301",6,"Yb174Di","beads"
"302",3,"Yb171Di","beads"
"303",4,"Yb171Di","beads"
"304",1187,"Yb173Di","beads"
"305",1058,"Yb173Di","beads"
"306",0,"Yb171Di","beads"
"307",1539,"Yb173Di","beads"
"308",1037,"Yb173Di","beads"
"309",3,"Yb171Di","beads"
"310",4,"Yb176Di","beads"
"311",1,"Yb171Di","beads"
"312",1097,"Yb173Di","beads"
"313",5,"Yb176Di","beads"
"314",3,"Yb174Di","beads"
"315",3,"Yb171Di","beads"
"316",1829,"Yb173Di","beads"
"317",10,"Yb174Di","beads"
"318",7,"Yb176Di","beads"
"319",42,"Yb172Di","beads"
"320",1,"Yb176Di","beads"
"321",8,"Yb176Di","beads"
"322",6,"Yb174Di","beads"
"323",37,"Yb172Di","beads"
"324",1,"Yb171Di","beads"
"325",1473,"Yb173Di","beads"
"326",6,"Yb176Di","beads"
"327",11,"Yb176Di","beads"
"328",4,"Yb174Di","beads"
"329",27,"Yb172Di","beads"
"330",4,"Yb171Di","beads"
"331",4,"Yb171Di","beads"
"332",5,"Yb176Di","beads"
"333",1253,"Yb173Di","beads"
"334",2199,"Yb173Di","beads"
"335",2,"Yb171Di","beads"
"336",2,"Yb171Di","beads"
"337",12,"Yb176Di","beads"
"338",1143,"Yb173Di","beads"
"339",2,"Yb171Di","beads"
"340",6,"Yb174Di","beads"
"341",48,"Yb172Di","beads"
"342",1062,"Yb173Di","beads"
"343",1641,"Yb173Di","beads"
"344",3,"Yb171Di","beads"
"345",2309,"Yb173Di","beads"
"346",4,"Yb171Di","beads"
"347",7,"Yb174Di","beads"
"348",0,"Yb171Di","beads"
"349",4,"Yb171Di","beads"
"350",1174,"Yb173Di","beads"
"351",39,"Yb172Di","beads"
"352",1,"Yb176Di","beads"
"353",60,"Yb172Di","beads"
"354",1,"Yb171Di","beads"
"355",1093,"Yb173Di","beads"
"356",1033,"Yb173Di","beads"
"357",10,"Yb174Di","beads"
"358",1307,"Yb173Di","beads"
"359",3,"Yb174Di","beads"
"360",48,"Yb172Di","beads"
"361",3,"Yb176Di","beads"
"362",2,"Yb174Di","beads"
"363",15,"Yb174Di","beads"
"364",1,"Yb174Di","beads"
"365",8,"Yb174Di","beads"
"366",1,"Yb171Di","beads"
"367",1307,"Yb173Di","beads"
"368",0,"Yb171Di","beads"
"369",1296,"Yb173Di","beads"
"370",8,"Yb171Di","beads"
"371",0,"Yb171Di","beads"
"372",1247,"Yb173Di","beads"
"373",56,"Yb172Di","beads"
"374",3,"Yb174Di","beads"
"375",38,"Yb172Di","beads"
"376",36,"Yb172Di","beads"
"377",1,"Yb171Di","beads"
"378",5,"Yb174Di","beads"
"379",4,"Yb174Di","beads"
"380",3,"Yb171Di","beads"
"381",0,"Yb171Di","beads"
"382",2,"Yb174Di","beads"
"383",1,"Yb174Di","beads"
"384",2524,"Yb173Di","beads"
"385",1,"Yb171Di","beads"
"386",1719,"Yb173Di","beads"
"387",69,"Yb172Di","beads"
"388",41,"Yb172Di","beads"
"389",15,"Yb176Di","beads"
"390",38,"Yb172Di","beads"
"391",1021,"Yb173Di","beads"
"392",2,"Yb174Di","beads"
"393",1098,"Yb173Di","beads"
"394",45,"Yb172Di","beads"
"395",48,"Yb172Di","beads"
"396",1349,"Yb173Di","beads"
"397",50,"Yb172Di","beads"
"398",5,"Yb176Di","beads"
"399",1,"Yb171Di","beads"
"400",96,"Yb172Di","beads"
"401",9,"Yb176Di","beads"
"402",1553,"Yb173Di","beads"
"403",57,"Yb172Di","beads"
"404",4,"Yb174Di","beads"
"405",0,"Yb176Di","beads"
"406",1081,"Yb173Di","beads"
"407",1379,"Yb173Di","beads"
"408",0,"Yb171Di","beads"
"409",1001,"Yb173Di","beads"
"410",2,"Yb171Di","beads"
"411",0,"Yb176Di","beads"
"412",51,"Yb172Di","beads"
"413",38,"Yb172Di","beads"
"414",13,"Yb176Di","beads"
"415",1098,"Yb173Di","beads"
"416",3,"Yb174Di","beads"
"417",41,"Yb172Di","beads"
"418",42,"Yb172Di","beads"
"419",1417,"Yb173Di","beads"
"420",1105,"Yb173Di","beads"
"421",1,"Yb176Di","beads"
"422",2,"Yb174Di","beads"
"423",0,"Yb174Di","beads"
"424",2,"Yb171Di","beads"
"425",3,"Yb176Di","beads"
"426",1081,"Yb173Di","beads"
"427",0,"Yb176Di","beads"
"428",1457,"Yb173Di","beads"
"429",6,"Yb174Di","beads"
"430",2,"Yb176Di","beads"
"431",6,"Yb176Di","beads"
"432",23,"Yb172Di","beads"
"433",1156,"Yb173Di","beads"
"434",1619,"Yb173Di","beads"
"435",1913,"Yb173Di","beads"
"436",51,"Yb172Di","beads"
"437",51,"Yb172Di","beads"
"438",11,"Yb176Di","beads"
"439",5,"Yb171Di","beads"
"440",60,"Yb172Di","beads"
"441",4,"Yb174Di","beads"
"442",2,"Yb171Di","beads"
"443",3,"Yb176Di","beads"
"444",15,"Yb174Di","beads"
"445",42,"Yb172Di","beads"
"446",1095,"Yb173Di","beads"
"447",10,"Yb176Di","beads"
"448",2,"Yb174Di","beads"
"449",3,"Yb171Di","beads"
"450",1204,"Yb173Di","beads"
"451",3,"Yb171Di","beads"
"452",1147,"Yb173Di","beads"
"453",3,"Yb176Di","beads"
"454",1677,"Yb173Di","beads"
"455",10,"Yb174Di","beads"
"456",6,"Yb174Di","beads"
"457",5,"Yb171Di","beads"
"458",21,"Yb174Di","beads"
"459",1183,"Yb173Di","beads"
"460",4,"Yb171Di","beads"
"461",30,"Yb172Di","beads"
"462",1255,"Yb173Di","beads"
"463",1,"Yb171Di","beads"
"464",4,"Yb174Di","beads"
"465",1,"Yb171Di","beads"
"466",1137,"Yb173Di","beads"
"467",0,"Yb171Di","beads"
"468",1,"Yb171Di","beads"
"469",3,"Yb176Di","beads"
"470",10,"Yb174Di","beads"
"471",5,"Yb176Di","beads"
"472",102,"Yb172Di","beads"
"473",1,"Yb174Di","beads"
"474",34,"Yb172Di","beads"
"475",2,"Yb174Di","beads"
"476",2143,"Yb173Di","beads"
"477",38,"Yb172Di","beads"
"478",0,"Yb171Di","beads"
"479",3,"Yb176Di","beads"
"480",13,"Yb176Di","beads"
"481",3,"Yb171Di","beads"
"482",4,"Yb174Di","beads"
"483",4,"Yb174Di","beads"
"484",49,"Yb172Di","beads"
"485",4,"Yb171Di","beads"
"486",1325,"Yb173Di","beads"
"487",2,"Yb176Di","beads"
"488",6,"Yb176Di","beads"
